Tamanho,Slave,TE
1,1,1042.04
2,1,1681.55
3,1,2639.57
4,1,3303.12
5,1,4225.62
6,1,4820.51
7,1,5801.49
8,1,6467.17
9,1,7322.98
10,1,8063.72
11,1,8932.02
12,1,9715.42
13,1,10465.22
14,1,11228.70
15,1,12068.89
16,1,12868.81
1,1,1020.83
2,1,1660.84
3,1,2627.46
4,1,3291.62
5,1,4203.17
6,1,4797.84
7,1,5785.43
8,1,6449.44
9,1,7370.31
10,1,8003.03
11,1,8938.04
12,1,9670.01
13,1,10431.98
14,1,11189.53
15,1,12034.85
16,1,12876.68
1,1,1017.07
2,1,1664.47
3,1,2626.08
4,1,3290.54
5,1,4212.24
6,1,4809.90
7,1,5775.39
8,1,6516.45
9,1,7372.59
10,1,8024.01
11,1,8933.31
12,1,9642.27
13,1,10422.14
14,1,11258.64
15,1,12062.61
16,1,12859.99
1,2,863.02
2,2,1030.52
3,2,1547.26
4,2,1758.90
5,2,2433.06
6,2,2695.77
7,2,3269.25
8,2,3432.75
9,2,3870.74
10,2,4339.09
11,2,4734.27
12,2,5246.32
13,2,5646.95
14,2,6030.98
15,2,6394.57
16,2,6880.07
1,2,677.43
2,2,1077.14
3,2,1595.52
4,2,1740.87
5,2,2401.22
6,2,2684.75
7,2,3211.56
8,2,3394.75
9,2,3839.58
10,2,4488.45
11,2,4733.32
12,2,5302.82
13,2,5580.73
14,2,5988.62
15,2,6381.09
16,2,6846.71
1,2,671.11
2,2,1079.90
3,2,1529.89
4,2,1779.22
5,2,2373.88
6,2,2678.22
7,2,3267.20
8,2,3588.80
9,2,3863.17
10,2,4476.69
11,2,4720.79
12,2,5233.33
13,2,5627.81
14,2,5996.94
15,2,6381.68
16,2,6824.29
1,3,861.39
2,3,908.53
3,3,1076.51
4,3,1468.36
5,3,1794.66
6,3,1837.93
7,3,2348.55
8,3,2624.01
9,3,2811.45
10,3,3117.00
11,3,3533.24
12,3,3553.03
13,3,4035.01
14,3,4257.83
15,3,4626.94
16,3,4792.16
1,3,779.85
2,3,893.36
3,3,1104.17
4,3,1406.95
5,3,1765.85
6,3,1819.36
7,3,2326.82
8,3,2643.52
9,3,2776.40
10,3,3317.00
11,3,3502.48
12,3,3557.30
13,3,4000.79
14,3,4243.90
15,3,4604.68
16,3,4800.01
1,3,683.67
2,3,892.05
3,3,1058.31
4,3,1441.52
5,3,1778.92
6,3,1812.91
7,3,2400.29
8,3,2606.46
9,3,2754.36
10,3,3290.65
11,3,3578.04
12,3,3528.92
13,3,3933.81
14,3,4238.02
15,3,4636.79
16,3,4822.61
1,4,549.81
2,4,872.41
3,4,1067.36
4,4,1125.66
5,4,1499.23
6,4,1886.55
7,4,2051.55
8,4,2096.13
9,4,2448.29
10,4,2813.88
11,4,3020.62
12,4,3102.23
13,4,3517.03
14,4,3825.05
15,4,3938.10
16,4,4242.90
1,4,551.69
2,4,826.14
3,4,1036.56
4,4,1179.33
5,4,1415.74
6,4,1897.62
7,4,1998.92
8,4,2032.54
9,4,2422.89
10,4,2775.49
11,4,2979.19
12,4,3099.62
13,4,3487.21
14,4,3763.13
15,4,3958.66
16,4,4286.57
1,4,434.18
2,4,811.78
3,4,1048.43
4,4,1180.89
5,4,1438.80
6,4,1967.99
7,4,2000.21
8,4,2029.38
9,4,2497.49
10,4,2807.46
11,4,2966.62
12,4,3057.10
13,4,3482.91
14,4,3832.80
15,4,3965.36
16,4,4212.48
1,5,568.44
2,5,862.94
3,5,1132.63
4,5,1084.88
5,5,1490.63
6,5,1787.54
7,5,2194.48
8,5,2557.05
9,5,2646.30
10,5,2678.11
11,5,3031.58
12,5,3455.83
13,5,3733.17
14,5,3876.34
15,5,3922.91
16,5,4394.93
1,5,493.32
2,5,839.99
3,5,1172.80
4,5,1347.83
5,5,1458.06
6,5,1872.05
7,5,2214.35
8,5,2514.83
9,5,2620.45
10,5,2798.43
11,5,3009.62
12,5,3437.95
13,5,3773.65
14,5,3834.23
15,5,3908.69
16,5,4359.82
1,5,555.50
2,5,851.21
3,5,1112.64
4,5,1348.84
5,5,1459.24
6,5,1738.33
7,5,2146.10
8,5,2535.01
9,5,2620.50
10,5,2658.46
11,5,2988.72
12,5,3354.39
13,5,3794.23
14,5,3894.65
15,5,3886.95
16,5,4279.07
1,6,437.76
2,6,890.47
3,6,1089.43
4,6,1112.41
5,6,1442.88
6,6,1780.66
7,6,2125.97
8,6,2481.24
9,6,3073.85
10,6,3241.62
11,6,3338.97
12,6,3369.48
13,6,3708.53
14,6,4055.53
15,6,4396.33
16,6,4795.92
1,6,480.92
2,6,878.84
3,6,1155.35
4,6,1458.83
5,6,1671.62
6,6,1732.48
7,6,2070.93
8,6,2400.65
9,6,2887.11
10,6,3184.01
11,6,3207.00
12,6,3276.25
13,6,3604.40
14,6,3930.77
15,6,4266.45
16,6,4849.67
1,6,417.01
2,6,839.16
3,6,1140.83
4,6,1424.66
5,6,1647.40
6,6,1750.05
7,6,2061.39
8,6,2507.25
9,6,2749.35
10,6,3203.15
11,6,3219.38
12,6,3276.81
13,6,3575.70
14,6,3980.33
15,6,4298.56
16,6,4678.82
1,7,445.80
2,7,844.34
3,7,1223.10
4,7,1463.86
5,7,1885.58
6,7,1981.92
7,7,2072.35
8,7,2370.38
9,7,2781.45
10,7,3128.15
11,7,3692.99
12,7,3880.77
13,7,3893.98
14,7,3961.67
15,7,4204.34
16,7,4519.36
1,7,413.92
2,7,707.50
3,7,1195.27
4,7,1395.73
5,7,1728.00
6,7,1874.60
7,7,2044.49
8,7,2380.68
9,7,2767.81
10,7,3049.13
11,7,3401.47
12,7,3806.72
13,7,3810.35
14,7,3855.08
15,7,4144.63
16,7,4554.66
1,7,383.72
2,7,646.73
3,7,1136.96
4,7,1362.33
5,7,1732.49
6,7,1928.26
7,7,2034.81
8,7,2364.33
9,7,2736.19
10,7,3119.12
11,7,3467.91
12,7,3793.91
13,7,3827.03
14,7,3862.24
15,7,4158.27
16,7,4589.86
1,8,415.65
2,8,799.23
3,8,1023.27
4,8,1507.05
5,8,1622.24
6,8,1868.42
7,8,2051.39
8,8,2319.88
9,8,2712.52
10,8,3116.65
11,8,3466.04
12,8,3777.88
13,8,4163.77
14,8,4501.57
15,8,4543.75
16,8,4625.16
1,8,488.25
2,8,678.14
3,8,1057.66
4,8,1452.24
5,8,1766.64
6,8,1752.42
7,8,2053.82
8,8,2337.36
9,8,3048.09
10,8,3110.35
11,8,3400.86
12,8,3760.71
13,8,4172.98
14,8,4453.85
15,8,4473.99
16,8,4788.49
1,8,417.80
2,8,714.41
3,8,1091.38
4,8,1456.03
5,8,1805.36
6,8,1846.89
7,8,2015.11
8,8,2328.90
9,8,2713.61
10,8,3103.83
11,8,3502.39
12,8,3757.72
13,8,4237.62
14,8,4474.93
15,8,4485.19
16,8,4575.81
1,9,475.75
2,9,718.71
3,9,1159.23
4,9,1510.33
5,9,1841.96
6,9,1848.94
7,9,2098.14
8,9,2389.03
9,9,2646.08
10,9,3095.01
11,9,3578.27
12,9,4040.75
13,9,4197.90
14,9,4600.46
15,9,5045.78
16,9,5337.87
1,9,432.48
2,9,663.40
3,9,1165.07
4,9,1561.14
5,9,1762.93
6,9,1761.70
7,9,2055.16
8,9,2375.31
9,9,2818.27
10,9,3013.44
11,9,3329.20
12,9,4041.48
13,9,4199.11
14,9,4569.37
15,9,4933.50
16,9,5232.72
1,9,500.03
2,9,896.22
3,9,1042.25
4,9,1391.24
5,9,1941.19
6,9,1896.25
7,9,2153.60
8,9,2327.11
9,9,2647.18
10,9,3005.72
11,9,3474.92
12,9,3852.97
13,9,4172.24
14,9,4461.53
15,9,4923.01
16,9,5162.68
1,10,482.88
2,10,799.88
3,10,1270.41
4,10,1585.90
5,10,1813.71
6,10,2400.12
7,10,2142.89
8,10,2469.89
9,10,2785.78
10,10,3018.55
11,10,3416.11
12,10,3870.78
13,10,4253.52
14,10,4577.94
15,10,5006.94
16,10,5346.90
1,10,424.53
2,10,813.01
3,10,1248.82
4,10,1567.09
5,10,1950.27
6,10,2011.60
7,10,2189.74
8,10,2413.24
9,10,2774.76
10,10,2980.42
11,10,3357.42
12,10,3821.61
13,10,4151.10
14,10,4746.15
15,10,4758.92
16,10,5314.73
1,10,440.55
2,10,844.06
3,10,1296.96
4,10,1375.64
5,10,1858.02
6,10,1983.42
7,10,2130.99
8,10,2558.88
9,10,2708.58
10,10,2973.03
11,10,3319.95
12,10,3814.29
13,10,4131.42
14,10,4443.06
15,10,4871.85
16,10,5244.10
